=== Gefundene PMB-Treffer ===
10402.xml  [org]  "Julius-Bard-Verlag für Literatur und Kunst (Berlin)"  (no-match)
10403.xml  [person]  "Perles, Ernst (?)"  (no-match)
10403.xml  [person]  "Perles, Oskar (?)"  (no-match)
10403.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10413.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10415.xml  [org]  "Königlich Württembergisches Hof-Theater Stuttgart"  (no-match)
10415.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10416.xml  [person]  "Löwenfeld, Hans"  (no-match)
10416.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10420.xml  [bibl]  "Russkaja reč"  (no-match)
10420.xml  [bibl]  "Russkija vedomosti"  (no-match)
10420.xml  [org]  "Brown Brothers & Company (New York)"  (no-match)
10420.xml  [org]  "Nekrasow (Russsland)"  (no-match)
10422.xml  [org]  "Brown Brothers & Company (New York)"  (no-match)
10422.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10423.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10424.xml  [org]  "Meyer & Jessen (Berlin, München)"  (no-match)
10426.xml  [bibl]  "Jakob Wassermann: Faustina"  (no-match)
10427.xml  [person]  "Sargant (Literaturagent?, USA)"  (no-match)
10427.xml  [person]  "Stephenson, Mary L. (Übersetzerin, USA)"  (no-match)
10428.xml  [person]  "Stephenson, Mary L. (Übersetzerin, USA)"  (no-match)
10433.xml  [person]  "Browne, Maurice"  (no-match)
10433.xml  [person]  "Sargant (Literaturagent?, USA)"  (no-match)
10433.xml  [person]  "Stephenson, Mary L. (Übersetzerin, USA)"  (no-match)
10433.xml  [org]  "Little Theatre Chicago"  (no-match)
10435.xml  [person]  "Ames, Winthrop"  (no-match)
10435.xml  [person]  "Browne, Maurice"  (no-match)
10435.xml  [person]  "Stephenson, Mary L. (Übersetzerin, USA)"  (no-match)
10435.xml  [org]  "New Theatre New York"  (no-match)
10436.xml  [org]  "Albert Bonniers Förlag (Stockholm)"  (no-match)
10436.xml  [person]  "Bonnier, Albert"  (no-match)
10436.xml  [person]  "Stephenson, Mary L. (Übersetzerin, USA)"  (no-match)
10437.xml  [person]  "Schur, Carl"  (no-match)
10438.xml  [org]  "Albert Bonniers Förlag (Stockholm)"  (no-match)
10438.xml  [person]  "Bonnier, Albert"  (no-match)
10438.xml  [org]  "Neue Freie Volksbühne Berlin"  (no-match)
10439.xml  [person]  "Schur, Carl"  (no-match)
10440.xml  [org]  "Hugo Gebers Förlag (Stockholm)"  (no-match)
10440.xml  [person]  "Schur, Carl"  (no-match)
10440.xml  [person]  "Sós, Edmund"  (no-match)
10441.xml  [org]  "Hugo Gebers Förlag (Stockholm)"  (no-match)
10442.xml  [person]  "Ames, Winthrop"  (no-match)
10443.xml  [person]  "Ames, Winthrop"  (no-match)
10444.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10444.xml  [person]  "Ames, Winthrop"  (no-match)
10444.xml  [person]  "Fred, Alfred W."  (no-match)
10445.xml  [org]  "I. Ladyschnikow Verlag (Berlin)"  (no-match)
10445.xml  [person]  "Ames, Winthrop"  (no-match)
10446.xml  [bibl]  "Das XXV. Jahr (Fischer-Verlag)"  (no-match)
